"program","year","week","site","depth","BT","weekly_mean_temp","dhw","annual_max"
"TCRMP",2007,1,"Great Pond",4,30,27.0177916666667,0,1
"TCRMP",2008,1,"Great Pond",4,30,26.9215486111111,0,1
"TCRMP",2008,1,"Great Pond",4,30,26.1722013888889,0,0
"TCRMP",2009,1,"Great Pond",4,30,26.3951145833333,0,1
"TCRMP",2010,1,"Great Pond",4,30,27.6923660714286,0,0
"TCRMP",2011,1,"Great Pond",4,30,26.0007767857143,0,1
"TCRMP",2012,1,"Great Pond",4,30,26.8386726190476,0,0
"TCRMP",2012,1,"Great Pond",4,30,27.21653125,0,0
"TCRMP",2013,1,"Great Pond",4,30,26.9399409722222,0,0
"TCRMP",2013,1,"Great Pond",4,30,27.1615520833333,0,0
"TCRMP",2014,1,"Great Pond",4,30,26.8596166666667,0,1
"TCRMP",2014,1,"Great Pond",4,30,27.0948784722222,0,0
"TCRMP",2015,1,"Great Pond",4,30,27.0419947916666,0,0
"TCRMP",2016,1,"Great Pond",4,30,27.1236344086022,0,1
"TCRMP",2017,1,"Great Pond",4,30,27.0873244047619,0,1
"TCRMP",2018,1,"Great Pond",4,30,27.2516601626016,0,1
"TCRMP",2018,1,"Great Pond",4,30,26.38778125,0,0
"TCRMP",2008,2,"Great Pond",4,30,26.8821964285714,0,0
"TCRMP",2009,2,"Great Pond",4,30,26.4278125,0,0
"TCRMP",2010,2,"Great Pond",4,30,27.6435208333333,0,0
"TCRMP",2011,2,"Great Pond",4,30,26.4177648809524,0,0
"TCRMP",2012,2,"Great Pond",4,30,26.4756041666667,0,0
"TCRMP",2013,2,"Great Pond",4,30,26.5455461309524,0,0
"TCRMP",2014,2,"Great Pond",4,30,26.8118764880952,0,0
"TCRMP",2015,2,"Great Pond",4,30,26.8395491071429,0,0
"TCRMP",2017,2,"Great Pond",4,30,26.6597708333333,0,0
"TCRMP",2008,3,"Great Pond",4,30,26.7488928571429,0,0
"TCRMP",2009,3,"Great Pond",4,30,26.1123511904762,0,0
"TCRMP",2010,3,"Great Pond",4,30,27.520490564843,0,0
"TCRMP",2011,3,"Great Pond",4,30,26.4895833333333,0,0
"TCRMP",2012,3,"Great Pond",4,30,26.2302217261905,0,0
"TCRMP",2013,3,"Great Pond",4,30,26.2255952380952,0,0
"TCRMP",2014,3,"Great Pond",4,30,26.4041830357143,0,0
"TCRMP",2015,3,"Great Pond",4,30,26.959037202381,0,0
"TCRMP",2017,3,"Great Pond",4,30,26.4443541666667,0,0
"TCRMP",2008,4,"Great Pond",4,30,26.6069166666667,0,0
"TCRMP",2009,4,"Great Pond",4,30,26.5128333333333,0,0
"TCRMP",2010,4,"Great Pond",4,30,26.9235208333333,0,0
"TCRMP",2011,4,"Great Pond",4,30,26.3703214285714,0,0
"TCRMP",2012,4,"Great Pond",4,30,25.9640044642857,0,0
"TCRMP",2013,4,"Great Pond",4,30,26.3656830357143,0,0
"TCRMP",2014,4,"Great Pond",4,30,26.6504895833333,0,0
"TCRMP",2015,4,"Great Pond",4,30,27.4118973214286,0,0
"TCRMP",2017,4,"Great Pond",4,30,26.7367619047619,0,0
"TCRMP",2008,5,"Great Pond",4,30,26.2875803571429,0,0
"TCRMP",2009,5,"Great Pond",4,30,26.2655982142857,0,0
"TCRMP",2010,5,"Great Pond",4,30,27.0648035714286,0,0
"TCRMP",2011,5,"Great Pond",4,30,26.3595863095238,0,0
"TCRMP",2012,5,"Great Pond",4,30,26.1152395833333,0,0
"TCRMP",2013,5,"Great Pond",4,30,26.1647946428571,0,0
"TCRMP",2014,5,"Great Pond",4,30,26.4528779761905,0,0
"TCRMP",2015,5,"Great Pond",4,30,27.228900297619,0,0
"TCRMP",2017,5,"Great Pond",4,30,26.5847336309524,0,0
"TCRMP",2008,6,"Great Pond",4,30,26.1564107142857,0,0
"TCRMP",2009,6,"Great Pond",4,30,26.2093898809524,0,0
"TCRMP",2010,6,"Great Pond",4,30,27.5359136904762,0,0
"TCRMP",2011,6,"Great Pond",4,30,26.3745297619048,0,0
"TCRMP",2012,6,"Great Pond",4,30,26.1633913690476,0,0
"TCRMP",2013,6,"Great Pond",4,30,26.1039255952381,0,0
