Location,Latitude,Longitude ,Type,Distance,Depth (m),Avg rugosity 
Buck Island STX Deep,17.785,-64.60917,Mesophotic,5500,33,
Cane Bay Deep,17.77661,-64.81522,Mesophotic,610,38,1.442066332
College Shoal East,18.18568,-65.07677,Mesophotic,17870,30,1.553173315
Grammanik Tiger FSA,18.18885,-64.95659,Mesophotic,14800,38,2.618030118
Hind Bank East FSA,18.20217,-65.00158,Mesophotic,14160,39,
Lang Bank EEMP,17.72145,-64.54706,Mesophotic,4110,27,1.176657651
Lang Bank Red Hind FSA,17.82427,-64.44963,Mesophotic,14450,33,1.342138568
Meri Shoal,18.24447,-64.75862,Mesophotic,7480,30,1.270001104
Salt River Deep,17.78523,-64.75917,Mesophotic,500,30,1.742353308
Black Point,18.3445,-64.98595,Nearshore,80,9,1.385281385
Botany Bay,18.35738,-65.03442,Nearshore,230,8,1.341731728
Brewers Bay,18.34403,-64.98435,Nearshore,170,6,1.587997012
Cane Bay,17.77388,-64.8135,Nearshore,260,10,1.865841514
Coculus Rock,18.31257,-64.86058,Nearshore,550,7,1.442066332
Coral Bay,18.33797,-64.70402,Nearshore,310,9,1.426478224
Fish Bay,18.31417,-64.76408,Nearshore,110,6,
Great Pond,17.71097,-64.65221,Nearshore,1250,6,1.104117781
Jacks Bay,17.74337,-64.5716,Nearshore,540,14,1.251076216
Kings Corner,17.69116,-64.90008,Nearshore,530,17,1.730321717
Magens Bay,18.37425,-64.93438,Nearshore,170,7,1.732995046
Salt River West,17.7853,-64.7594,Nearshore,500,11,1.286167494
Sprat Hole,17.734,-64.8954,Nearshore,560,8,2.377433146
Buck Island STT,18.27883,-64.89833,Offshore,3700,14,1.347402597
Buck Island STX,17.785,-64.60917,Offshore,2700,15,1.423978252
Castle,17.76278,-64.59743,Offshore,660,7,1.403704396
Eagle Ray,17.7615,-64.6988,Offshore,830,9,1.230098354
Flat Cay,18.31822,-64.99104,Offshore,2070,12,1.445378151
Mutton Snapper FSA,17.6366,-64.8624,Offshore,5430,30,1.499484372
Savana ,18.34064,-65.08205,Offshore,4460,9,1.348563433
Seahorse Cottage Shoal,18.29467,-64.8675,Offshore,1260,20,1.179962894
South Capella,18.26267,-64.87237,Offshore,5850,20,1.436247531
South Water,18.28068,-64.94592,Offshore,4950,20,1.331487763
St James,18.29459,-64.83238,Offshore,2340,15,1.368423648
